Instrument,SessionContext,TotalBars,Bucket,FromState,Transition,Count,ProbabilityPct
NQ,RTH,50,0.40-0.60,Unknown,Unknown->Unresolved,1,100.00
NQ,RTH,100,0.40-0.60,Unknown,Unknown->Unresolved,1,100.00
NQ,RTH,100,0.40-0.60,Unresolved,Unresolved->Directional,1,100.00
NQ,RTH,100,0.80-1.00,Directional,Directional->Degrading,1,50.00
NQ,RTH,100,0.60-0.80,Degrading,Degrading->Directional,1,33.33
NQ,RTH,100,0.80-1.00,Directional,Directional->Balance,1,50.00
NQ,RTH,100,0.40-0.60,Balance,Balance->Degrading,1,100.00
NQ,RTH,100,0.60-0.80,Degrading,Degrading->Unresolved,2,66.67
NQ,RTH,100,0.20-0.40,Unresolved,Unresolved->Degrading,2,66.67
NQ,RTH,100,0.20-0.40,Degrading,Degrading->Unresolved,1,100.00
NQ,RTH,100,0.00-0.20,Unresolved,Unresolved->Balance,4,100.00
NQ,RTH,100,0.00-0.20,Balance,Balance->Unresolved,4,100.00
NQ,RTH,100,0.40-0.60,Degrading,Degrading->Balance,1,100.00
NQ,RTH,100,0.20-0.40,Balance,Balance->Degrading,1,50.00
NQ,RTH,100,0.20-0.40,Unresolved,Unresolved->Balance,1,33.33
NQ,RTH,100,0.20-0.40,Balance,Balance->Unresolved,1,50.00
NQ,RTH,150,0.40-0.60,Unknown,Unknown->Unresolved,1,100.00
NQ,RTH,150,0.40-0.60,Unresolved,Unresolved->Directional,2,100.00
NQ,RTH,150,0.80-1.00,Directional,Directional->Degrading,1,50.00
NQ,RTH,150,0.60-0.80,Degrading,Degrading->Directional,1,33.33
NQ,RTH,150,0.80-1.00,Directional,Directional->Balance,1,50.00
NQ,RTH,150,0.40-0.60,Balance,Balance->Degrading,1,100.00
NQ,RTH,150,0.60-0.80,Degrading,Degrading->Unresolved,2,66.67
NQ,RTH,150,0.20-0.40,Unresolved,Unresolved->Degrading,4,80.00
NQ,RTH,150,0.20-0.40,Degrading,Degrading->Unresolved,2,100.00
NQ,RTH,150,0.00-0.20,Unresolved,Unresolved->Balance,6,100.00
NQ,RTH,150,0.00-0.20,Balance,Balance->Unresolved,5,100.00
NQ,RTH,150,0.40-0.60,Degrading,Degrading->Balance,1,33.33
NQ,RTH,150,0.20-0.40,Balance,Balance->Degrading,1,33.33
